               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.014204,           0.0098596,           0.0069412,             0.98384,               0.975,             0.98552,             0.84241,           0.0073504,           0.0025522,           0.0011915,            0.002014,            0.002014,            0.002014
                 123,            0.017356,            0.011253,            0.010374,             0.97836,             0.98241,             0.98552,             0.82972,           0.0073147,           0.0025257,           0.0011349,            0.001948,            0.001948,            0.001948
                 124,            0.018175,           0.0097835,            0.010459,             0.98312,             0.98021,             0.98553,              0.8375,           0.0064679,           0.0024956,           0.0011035,            0.001882,            0.001882,            0.001882
                 125,            0.014152,            0.011239,            0.006855,             0.98114,              0.9899,             0.98555,             0.84601,           0.0063574,           0.0025088,           0.0010832,            0.001816,            0.001816,            0.001816
                 126,            0.018436,            0.010333,           0.0075066,             0.98091,              0.9899,             0.98555,             0.82489,           0.0067059,           0.0025201,           0.0010775,             0.00175,             0.00175,             0.00175
                 127,            0.018266,            0.009486,            0.012259,             0.98614,              0.9899,             0.98553,              0.8486,           0.0060884,           0.0025162,           0.0010576,            0.001684,            0.001684,            0.001684
                 128,            0.014305,             0.01075,           0.0065062,             0.98789,              0.9899,             0.98554,              0.8288,           0.0072905,           0.0025173,           0.0010536,            0.001618,            0.001618,            0.001618
                 129,             0.01439,            0.010022,           0.0065172,             0.98926,              0.9899,             0.98556,             0.85261,           0.0059626,           0.0024448,           0.0010475,            0.001552,            0.001552,            0.001552
                 130,            0.021384,            0.010636,            0.010867,             0.98857,              0.9899,             0.98556,             0.85675,           0.0056671,           0.0024088,           0.0010511,            0.001486,            0.001486,            0.001486
                 131,            0.013886,            0.010047,           0.0059531,             0.98747,             0.98973,             0.98557,             0.84773,           0.0063101,           0.0024106,           0.0010355,             0.00142,             0.00142,             0.00142
                 132,             0.01696,           0.0095906,           0.0084319,             0.98754,             0.98833,             0.98557,             0.87222,           0.0052024,           0.0023677,            0.001035,            0.001354,            0.001354,            0.001354
                 133,            0.017332,            0.010233,            0.011031,             0.98782,               0.988,             0.98556,             0.85972,           0.0050397,           0.0023701,           0.0010276,            0.001288,            0.001288,            0.001288
                 134,            0.016975,           0.0094216,            0.011556,             0.98797,              0.9882,             0.98556,             0.87114,            0.005034,           0.0023736,           0.0010149,            0.001222,            0.001222,            0.001222
                 135,            0.012836,           0.0094778,           0.0066373,             0.98891,             0.98871,             0.98556,              0.8588,           0.0055557,           0.0023933,            0.001014,            0.001156,            0.001156,            0.001156
                 136,            0.015241,            0.009855,           0.0099572,             0.98944,             0.98949,             0.98556,             0.84672,           0.0055624,            0.002409,           0.0010156,             0.00109,             0.00109,             0.00109
                 137,            0.017802,           0.0099083,            0.010877,             0.98963,              0.9899,              0.9855,             0.84618,           0.0050485,           0.0024486,           0.0010225,            0.001024,            0.001024,            0.001024
                 138,            0.020194,           0.0098737,            0.012647,             0.98997,              0.9899,             0.98547,             0.85409,           0.0050887,           0.0024636,           0.0010168,            0.000958,            0.000958,            0.000958
                 139,            0.019497,            0.010113,            0.013598,              0.9904,              0.9899,             0.98548,             0.85884,           0.0047921,           0.0024578,          0.00099771,            0.000892,            0.000892,            0.000892
                 140,             0.01287,           0.0098381,           0.0059315,              0.9909,             0.98955,             0.98547,             0.84101,              0.0056,           0.0024611,          0.00097811,            0.000826,            0.000826,            0.000826
                 141,            0.015427,           0.0097229,           0.0088636,             0.99013,             0.98743,             0.98548,             0.87295,           0.0053519,           0.0024128,           0.0009618,             0.00076,             0.00076,             0.00076
                 142,            0.013353,           0.0099183,            0.008356,             0.98951,             0.98658,             0.98547,             0.86429,           0.0049225,           0.0023933,          0.00095894,            0.000694,            0.000694,            0.000694
                 143,            0.012326,           0.0089016,           0.0046062,             0.98895,             0.98567,             0.98549,             0.87184,           0.0048081,           0.0023584,          0.00094135,            0.000628,            0.000628,            0.000628
                 144,            0.016246,           0.0090139,           0.0096649,              0.9891,             0.98601,             0.98556,             0.87032,            0.004716,           0.0023372,          0.00093477,            0.000562,            0.000562,            0.000562
                 145,            0.012908,            0.010236,           0.0056648,             0.98958,             0.98649,             0.98556,             0.87977,            0.005012,           0.0023198,          0.00092046,            0.000496,            0.000496,            0.000496
                 146,            0.015038,           0.0099013,            0.010238,             0.99007,             0.98728,             0.98555,             0.88206,           0.0048811,           0.0023207,          0.00090516,             0.00043,             0.00043,             0.00043
                 147,            0.017678,            0.010509,            0.010431,             0.99047,              0.9865,             0.98553,              0.8761,           0.0048155,           0.0023121,          0.00089014,            0.000364,            0.000364,            0.000364
                 148,            0.015432,            0.010047,           0.0081981,             0.99091,             0.98653,             0.98553,             0.87144,           0.0048279,           0.0023115,          0.00088856,            0.000298,            0.000298,            0.000298
                 149,            0.019125,           0.0096331,            0.013073,             0.99133,             0.98707,             0.98553,             0.88115,           0.0047606,           0.0023001,          0.00087926,            0.000232,            0.000232,            0.000232
